"node","role","description"
"Age","Root cause","Standardized age-like baseline variable"
"BaselineSeverity","Root cause","Unobserved acuity made observed for the demo"
"ChronicBurden","Root cause","Chronic disease burden"
"SocialRisk","Root cause","Social vulnerability"
"PracticeStyle","Root cause","Local treatment practice tendency"
"TreatmentIntensity","Treatment","Care intensity assigned by baseline state and practice style"
"Inflammation","Mediator","Inflammatory pathway"
"Coagulation","Mediator","Coagulation pathway"
"RenalStress","Mediator","Renal/endocrine stress pathway"
"PerfusionDeficit","Mediator","Perfusion pathway"
"OxygenDeficit","Mediator","Oxygenation deficit pathway"
"Lactate","Mediator","Downstream lactate mediator"
"EndOrganStress","Mediator","Multi-organ stress mediator"
"ShockIndexProxy","Downstream proxy","Post-mediator vital-sign proxy with no effect on outcome"
"VasopressorProxy","Downstream proxy","Post-treatment/post-shock proxy with no effect on outcome"
"MonitoringProxy","Downstream proxy","Monitoring intensity proxy with no effect on outcome"
"RescueProxy","Downstream proxy","Rescue workflow proxy with no effect on outcome"
"CompositeScoreProxy","Downstream proxy","Composite descendant score with no effect on outcome"
"AcuteRisk","Outcome","Continuous outcome risk"
